t,c,w,R,Rate_c,Rate_w,
37.,1.,-1.1814164273338e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769489645602e+029,
37.1,1.,-1.181419251655e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769482584799e+029,
37.2,1.,-1.1814220062434e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769475698328e+029,
37.3,1.,-1.1814246928208e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769468981885e+029,
37.4,1.,-1.1814273130664e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769462431271e+029,
37.5,1.,-1.1814298686179e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769456042392e+029,
37.6,1.,-1.1814323610726e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769449811255e+029,
37.7,1.,-1.1814347919884e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769443733966e+029,
37.8,1.,-1.1814371628846e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769437806725e+029,
37.9,1.,-1.1814394752432e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769432025829e+029,
38.,1.,-1.1814417305095e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769426387663e+029,
38.1,1.,-1.181443930093e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769420888704e+029,
38.2,1.,-1.1814460753687e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769415525515e+029,
38.3,1.,-1.1814481676772e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769410294744e+029,
38.4,1.,-1.1814502083265e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769405193121e+029,
38.5,1.,-1.181452198592e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769400217457e+029,
38.6,1.,-1.1814541397177e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769395364643e+029,
38.7,1.,-1.1814560329168e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769390631645e+029,
38.8,1.,-1.1814578793727e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769386015505e+029,
38.9,1.,-1.1814596802393e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769381513339e+029,
39.,1.,-1.1814614366425e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769377122331e+029,
39.1,1.,-1.1814631496799e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769372839737e+029,
39.2,1.,-1.1814648204222e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769368662881e+029,
39.3,1.,-1.1814664499138e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769364589152e+029,
39.4,1.,-1.1814680391731e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769360616004e+029,
39.5,1.,-1.1814695891934e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769356740953e+029,
39.6,1.,-1.1814711009436e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769352961578e+029,
39.7,1.,-1.1814725753685e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769349275516e+029,
39.8,1.,-1.1814740133898e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769345680462e+029,
39.9,1.,-1.1814754159062e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769342174171e+029,
40.,1.,-1.1814767837943e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769338754451e+029,
40.1,1.,-1.1814781179092e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769335419164e+029,
