t,XA0,XB0,XC0,XD0,XE0,XA8,XB8,XC8,XD8,XE8,
93.,0.78115937525834,0.20737300332285,1.1333444280762e-002,4.8529836444714e-005,8.5646318923708e-005,0.13496192668852,0.18650552447644,0.19931330232926,0.19999709819543,0.27922214829038,
94.,0.78016078988928,0.20831065108145,1.1402286591409e-002,4.8832304809131e-005,7.74392445311e-005,0.13418630738578,0.18629902524922,0.19930200791666,0.19999704982892,0.28021560960035,
95.,0.77915247451276,0.20925649099705,1.1471877000082e-002,4.9138082499699e-005,7.0018604223024e-005,0.13341091466518,0.18609138406768,0.19929063343467,0.19999700111185,0.28121006670236,
96.,0.77813435887089,0.21021065354255,1.1542230578489e-002,4.9447240836862e-005,6.3309040823955e-005,0.13263575869876,0.18588259043756,0.19927917797162,0.19999695204019,0.28220552083433,
97.,0.77710636682282,0.21117326787366,1.1613362377977e-002,4.9759850924405e-005,5.7242417819142e-005,0.13186084976197,0.18567263370391,0.19926764059809,0.19999690260984,0.28320197330931,
98.,0.77606841675096,0.21214446208831,1.1685287455591e-002,5.0075983777793e-005,5.175712749182e-005,0.13108619823971,0.18546150305161,0.19925602036687,0.1999968528166,0.28419942550893,
99.,0.7750204219255,0.21312436346325,1.1758020898494e-002,5.0395710444876e-005,4.6797465351348e-005,0.13031181463206,0.18524918750564,0.19924431631288,0.19999680265619,0.28519787887748,
100.,0.77396229083117,0.21411309866983,1.1831577846876e-002,5.071910211957e-005,4.2313064500965e-005,0.1295377095597,0.18503567593121,0.19923252745303,0.19999675212426,0.28619733491653,
101.,0.77289392746015,0.2151107939709,1.1905973515511e-002,5.1046230249108e-005,3.8258384201332e-005,0.12876389376902,0.18482095703358,0.19922065278609,0.19999670121634,0.28719779518012,
102.,0.77181523157444,0.2161175754005,1.1981223214057e-002,5.1377166635406e-005,3.4592247438334e-005,0.127990378137,0.18460501935775,0.19920869129255,0.19999664992792,0.28819926127031,
103.,0.77072609894071,0.21713356892783,1.2057342366232e-002,5.1711983531057e-005,3.1277422799711e-005,0.12721717367583,0.18438785128797,0.19919664193443,0.19999659825438,0.28920173483329,
104.,0.76962642154036,0.21815890060704,1.2134346527951e-002,5.2050753730415e-005,2.8280246413134e-005,0.12644429153736,0.18416944104707,0.19918450365506,0.19999654619101,0.2902052175557,
105.,0.76851608775736,0.21919369671392,1.2212251404544e-002,5.2393550656232e-005,2.5570280109986e-005,0.12567174301741,0.18394977669566,0.19917227537892,0.19999649373302,0.29120971116146,
106.,0.76739498254602,0.22023808387078,1.2291072867121e-002,5.2740448442224e-005,2.3120002342752e-005,0.12489953955981,0.18372884613123,0.19915995601135,0.19999644087554,0.2922152174088,
107.,0.7662629875807,0.22129218916051,1.2370826968184e-002,5.3091522011985e-005,2.090452871737e-005,0.12412769276044,0.18350663708699,0.19914754443832,0.19999638761359,0.29322173808761,
108.,0.76511998138933,0.22235614023078,1.2451529956545e-002,5.3446847154571e-005,1.8901359302939e-005,0.12335621437102,0.18328313713082,0.19913503952617,0.19999633394211,0.29422927501703,
109.,0.76396583947238,0.22343006538912,1.2533198291643e-002,5.3806500597107e-005,1.7090150154228e-005,0.12258511630289,0.18305833366386,0.19912244012131,0.19999627985595,0.29523783004331,
110.,0.7628004344087,0.22451409368988,1.2615848657299e-002,5.4170560074704e-005,1.5452506725864e-005,0.12181441063066,0.18283221391921,0.19910974504993,0.19999622534986,0.29624740503782,
111.,0.76162363594973,0.22560835501348,1.2699497974989e-002,5.4539104397991e-005,1.3971797081113e-005,0.12104410959572,0.18260476496043,0.19909695311767,0.1999961704185,0.29725800189529,
112.,0.76043531110304,0.2267129801388,1.2784163416679e-002,5.4912213518503e-005,1.2632982999024e-005,0.12027422560981,0.18237597367997,0.19908406310932,0.19999611505644,0.29826962253219,
113.,0.75923532420663,0.22782810080916,1.2869862417282e-002,5.5289968592195e-005,1.142246726355e-005,0.1195047712584,0.18214582679754,0.19907107378845,0.19999605925814,0.29928226888532,
114.,0.75802353699468,0.22895384979241,1.2956612686769e-002,5.5672452041286e-005,1.0327955586002e-005,0.11873575930406,0.1819143108584,0.19905798389704,0.19999600301796,0.30029594291048,
115.,0.75679980865589,0.23009036093558,1.3044432222001e-002,5.605974761467e-005,9.3383317576671e-006,0.11796720268982,0.18168141223161,0.19904479215516,0.19999594633016,0.30131064658127,
116.,0.75556399588506,0.23123776921455,1.3133339318293e-002,5.6451940447071e-005,8.4435447652576e-006,0.11719911454246,0.18144711710814,0.19903149726052,0.19999588918891,0.30232638188806,
117.,0.75431595292879,0.23239621077898,1.3223352580781e-002,5.6849117117142e-005,7.6345067220599e-006,0.11643150817575,0.18121141149901,0.1990180978881,0.19999583158826,0.30334315083702,
118.,0.75305553162594,0.23356582299298,1.3314490935588e-002,5.7251365704663e-005,6.9030005803302e-006,0.11566439709368,0.18097428123336,0.19900459268976,0.19999577352215,0.30436095544924,
119.,0.75178258144335,0.23474674447164,1.3406773640859e-002,5.7658775847017e-005,6.2415966860002e-006,0.11489779499372,0.1807357119564,0.19899098029376,0.19999571498444,0.30537979775993,
120.,0.75049694950763,0.23593911511383,1.3500220297663e-002,5.8071438795075e-005,5.6435773289284e-006,0.11413171576992,0.1804956891274,0.19897725930436,0.19999565596883,0.30639967981777,
121.,0.74919848063332,0.23714307613133,1.3594850860811e-002,5.8489447468636e-005,5.1028685230525e-006,0.11336617351618,0.18025419801762,0.19896342830135,0.19999559646895,0.30742060368421,
122.,0.74788701734797,0.23835877007466,1.3690685649602e-002,5.8912896511555e-005,4.6139783230525e-006,0.11260118252937,0.18001122370813,0.1989494858396,0.1999955364783,0.30844257143293,
123.,0.74656239991461,0.2395863408556,1.3787745358526e-002,5.9341882346676e-005,4.171941051942e-006,0.11183675731249,0.17976675108771,0.19893543044855,0.19999547599025,0.30946558514935,
124.,0.74522446635197,0.2408259337667,1.3886051067944e-002,5.9776503230677e-005,3.7722668728003e-006,0.11107291257782,0.17952076485064,0.19892126063174,0.19999541499807,0.31048964693009,
125.,0.74387305245283,0.24207769549777,1.3985624254765e-002,6.0216859308945e-005,3.4108961915216e-006,0.11030966325011,0.17927324949446,0.1989069748663,0.1999953534949,0.31151475888261,
